Student,Age,Math,Physics,Computer,Attendance
Student 1,20,78,72,85,91
Student 2,21,65,70,76,85
Student 3,20,88,81,92,96
Student 4,22,55,61,68,78
Student 5,21,74,69,80,88
Student 6,20,91,87,95,98
Student 7,22,62,58,71,80
Student 8,21,83,79,88,93
Student 9,20,69,73,77,86
Student 10,22,95,90,97,99
Student 11,21,57,64,70,76
Student 12,20,76,75,84,90
Student 13,22,81,68,86,87
Student 14,21,67,71,73,84
Student 15,20,89,85,91,95
Student 16,22,53,59,65,74
Student 17,21,72,77,79,89
Student 18,20,86,82,90,94
Student 19,22,64,66,75,81
Student 20,21,79,74,83,92
Student 21,20,92,88,96,97
Student 22,22,59,62,69,79
Student 23,21,75,70,82,88
Student 24,20,84,80,89,94
Student 25,22,68,65,74,83
Student 26,21,87,84,93,96
Student 27,20,61,67,72,82
Student 28,22,77,73,81,90
Student 29,21,90,86,94,97
Student 30,20,70,76,78,87
Student 31,22,56,60,67,75
Student 32,21,82,78,87,93
Student 33,20,73,69,80,89
Student 34,22,85,83,91,95
Student 35,21,66,72,76,85
Student 36,20,94,89,98,99
Student 37,22,60,57,70,77
Student 38,21,78,81,85,91
Student 39,20,71,68,79,86
Student 40,22,88,84,92,96
